Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Garland,Career,NBA,78,,14.2,2.0,4.6,0.435,0.1,0.2,0.316,1.9,4.3,0.442,0.444,0.2,0.3,0.6920000000000001,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1.0,4.3
Winston Garland,Career,NBA,511,315,26.2,3.7,8.7,.430,0.1,0.5,.281,3.6,8.2,.440,.438,1.8,2.1,.830,0.8,2.0,2.8,4.7,1.3,0.2,1.9,2.4,9.4
Dick Garmaker,Career,NBA,421.0,,28.9,4.8,11.9,0.40299999999999997,,,,,,,,3.7,4.7,0.787,,,4.2,2.6,,,,2.8,13.3
Bill Garner,Career,ABA,53,,9.7,0.5,1.9,0.272,0.0,0.0,0.0,0.5,1.9,0.275,0.272,0.5,0.9,0.5,,,2.2,0.5,,,0.9,1.9,1.5
Chris Garner,Career,NBA,46,0,9.6,0.7,2.3,.280,0.1,0.5,.190,0.6,1.9,.302,.299,0.2,0.3,.615,0.2,0.6,0.8,1.4,0.6,0.1,0.7,1.5,1.6
Bill Garnett,Career,NBA,300.0,62.0,17.5,1.9,3.9,0.49,0.0,0.0,0.0,1.9,3.9,0.494,0.49,1.6,2.3,0.72,1.6,2.8,4.3,1.3,0.5,0.6,1.1,2.8,5.5
Kevin Garnett,Career,NBA,1462.0,1425.0,34.5,7.2,14.5,0.49700000000000005,0.1,0.4,0.275,7.1,14.0,0.504,0.501,3.3,4.2,0.789,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,17.8
Marlon Garnett,Career,NBA,24,0,8.5,0.6,2.1,0.294,0.3,1.0,0.261,0.4,1.2,0.321,0.353,0.6,0.8,0.75,0.1,0.8,0.9,0.8,0.2,0.0,0.5,0.8,2.1
Billy Garrett,Career,NBA,4,0,15.8,2.8,6.8,0.40700000000000003,0.0,2.0,0.0,2.8,4.8,0.579,0.40700000000000003,1.0,1.0,1.0,0.0,0.8,0.8,1.8,0.3,0.3,0.5,0.8,6.5
Calvin Garrett,Career,NBA,166.0,22.0,18.1,2.3,4.9,0.457,0.0,0.1,0.3,2.2,4.8,0.461,0.461,0.6,0.8,0.767,0.8,1.8,2.6,1.5,0.6,0.1,1.0,2.0,5.2
Dean Garrett,Career,NBA,359,210,19.4,2.0,4.2,.480,0.0,0.0,,2.0,4.2,.480,.480,0.8,1.2,.677,1.7,3.4,5.0,0.6,0.5,1.0,0.6,1.9,4.8
Diante Garrett,Career,NBA,90.0,0.0,13.3,1.3,3.5,0.373,0.4,1.2,0.35100000000000003,0.9,2.3,0.384,0.435,0.2,0.2,0.682,0.2,1.1,1.2,1.7,0.6,0.1,1.0,0.9,3.2
Dick Garrett,Career,NBA,339.0,,25.7,4.2,10.0,0.423,,,,,,,,1.8,2.1,0.863,0.4,0.6,3.0,2.5,0.3,0.0,,3.0,10.3
Rowland Garrett,Career,NBA,263.0,,11.0,2.1,4.8,0.441,,,,,,,,0.8,1.0,0.772,0.8,1.5,2.3,0.4,0.3,0.2,,1.3,5.1
Tom Garrick,Career,NBA,251.0,47.0,18.8,2.2,4.6,0.469,0.0,0.2,0.083,2.1,4.4,0.49,0.47100000000000003,1.1,1.4,0.775,0.5,1.5,2.0,3.4,1.1,0.1,1.4,1.8,5.4
John Garris,Career,NBA,33,1,8.1,1.6,3.1,0.51,0.0,0.0,,1.6,3.1,0.51,0.51,0.8,1.0,0.794,1.1,1.3,2.3,0.3,0.2,0.2,0.3,1.2,4.0
Kiwane Garris,Career,NBA,31,0,8.0,0.8,2.4,.320,0.2,0.5,.333,0.6,1.9,.317,.353,0.6,0.8,.760,0.1,0.5,0.6,1.0,0.2,0.0,0.5,0.7,2.3
Pat Garrity,Career,NBA,552.0,107.0,20.0,2.7,6.4,0.41700000000000004,1.1,2.9,0.39799999999999996,1.5,3.5,0.434,0.506,0.8,1.0,0.8059999999999999,0.6,2.0,2.6,0.8,0.4,0.2,0.8,2.3,7.3
Jim Garvin,Career,NBA,6,,1.8,0.2,0.7,0.25,,,,,,,,0.0,0.0,,0.2,0.7,0.8,0.0,0.0,0.0,,0.2,0.3
Marc Gasol,Career,NBA,879,863,32.4,5.2,10.9,.480,0.5,1.3,.354,4.8,9.6,.498,.502,3.2,4.1,.777,1.6,5.9,7.5,3.4,0.9,1.4,2.0,2.9,14.2
Pau Gasol,Career,NBA,1226.0,1150.0,33.4,6.5,12.8,0.507,0.1,0.4,0.368,6.4,12.4,0.512,0.513,3.9,5.1,0.753,2.5,6.7,9.2,3.2,0.5,1.6,2.2,2.1,17.0
Frank Gates,Career,NBA,64,,,1.8,6.3,0.281,,,,,,,,1.0,1.5,0.622,,,,1.4,,,,2.3,4.5
Chris Gatling,Career,NBA,700,86,19.7,4.0,7.8,.513,0.1,0.3,.249,3.9,7.5,.523,.517,2.2,3.4,.660,1.8,3.6,5.3,0.7,0.7,0.5,1.5,2.7,10.3
Kenny Gattison,Career,NBA,494,130,20.1,3.1,6.0,.520,0.0,0.0,.083,3.1,6.0,.521,.520,1.7,2.6,.649,1.5,3.2,4.7,0.9,0.6,0.7,1.2,2.9,7.9
Rudy Gay,Career,NBA,985.0,777.0,32.7,6.4,14.1,0.45399999999999996,1.1,3.0,0.349,5.3,11.0,0.483,0.49200000000000005,3.0,3.8,0.799,1.4,4.5,5.9,2.2,1.2,0.8,2.2,2.4,16.9
Ed Gayda,Career,NBA,15,,,1.3,3.1,0.413,,,,,,,,1.2,1.6,0.75,,,2.6,0.9,,,,2.3,3.7
Andrew Gaze,Career,NBA,26,0,4.9,0.6,1.6,.381,0.3,0.9,.375,0.3,0.7,.389,.488,0.1,0.1,1.000,0.1,0.3,0.5,0.4,0.2,0.1,0.3,0.6,1.7
Michael Gbinije,Career,NBA,9,0,3.6,0.1,1.1,0.1,0.0,0.4,0.0,0.1,0.7,0.16699999999999998,0.1,0.2,0.2,1.0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0.4
Reggie Geary,Career,NBA,101.0,2.0,9.2,0.8,2.2,0.344,0.2,0.6,0.32799999999999996,0.6,1.6,0.349,0.38799999999999996,0.3,0.7,0.493,0.2,0.6,0.8,1.1,0.5,0.1,0.6,1.3,2.1
Alonzo Gee,Career,NBA,417.0,213.0,21.8,2.4,5.5,0.434,0.4,1.4,0.325,2.0,4.2,0.469,0.474,1.4,1.8,0.754,0.9,2.3,3.3,1.1,0.9,0.2,1.1,1.9,6.6
Matt Geiger,Career,NBA,552.0,214.0,22.1,3.7,7.4,0.499,0.0,0.1,0.23199999999999998,3.7,7.3,0.504,0.501,1.7,2.4,0.728,2.1,3.6,5.7,0.7,0.6,0.6,1.3,3.0,9.2
Mickaël Gelabale,Career,NBA,145,27,16.2,1.8,3.9,.470,0.3,0.9,.316,1.5,2.9,.519,.508,0.7,0.9,.815,0.7,1.5,2.3,0.8,0.3,0.2,0.6,1.3,4.6
Devean George,Career,NBA,630.0,108.0,18.5,2.1,5.3,0.392,0.7,2.0,0.34299999999999997,1.4,3.4,0.42100000000000004,0.456,0.8,1.0,0.721,0.9,2.3,3.1,0.9,0.7,0.4,0.7,2.0,5.6
Jack George,Career,NBA,506.0,,31.3,3.8,10.3,0.364,,,,,,,,2.7,3.8,0.7040000000000001,,,4.2,4.3,,,,2.5,10.2
Paul George,Career,NBA,689.0,641.0,33.5,6.8,15.6,0.436,2.5,6.5,0.384,4.3,9.2,0.47200000000000003,0.515,4.0,4.7,0.847,0.9,5.5,6.4,3.5,1.7,0.4,2.6,2.7,20.1
Tate George,Career,NBA,177,14,11.4,1.7,4.1,.414,0.0,0.1,.071,1.7,4.0,.421,.415,0.8,1.0,.820,0.4,0.6,1.0,1.8,0.4,0.1,0.9,1.0,4.2
Marcus Georges-Hunt,Career,NBA,47.0,0.0,5.8,0.5,1.2,0.418,0.1,0.4,0.294,0.4,0.8,0.474,0.46399999999999997,0.5,0.7,0.71,0.2,0.4,0.5,0.2,0.1,0.0,0.1,0.8,1.6
Gus Gerard,Career,TOT,446.0,,17.8,3.5,7.9,0.43799999999999994,0.0,0.1,0.273,3.4,7.8,0.439,0.439,1.5,2.2,0.696,1.6,2.5,4.1,1.3,0.6,0.7,1.5,2.2,8.4
Derrick Gervin,Career,NBA,77,4,14.1,3.3,7.7,0.435,0.1,0.4,0.226,3.2,7.3,0.446,0.441,2.0,2.6,0.764,0.9,1.4,2.3,0.5,0.5,0.3,0.7,1.8,8.8
George Gervin,Career,TOT,1060,377,33.6,9.8,19.4,.504,0.1,0.6,.271,9.7,19.0,.509,.507,5.4,6.4,.841,1.7,3.6,5.3,2.6,1.2,1.0,3.0,3.1,25.1
Gorham Getchell,Career,BAA,16,,,0.0,0.5,0.0,,,,,,,,0.3,0.3,1.0,,,,0.0,,,,0.3,0.3
John Gianelli,Career,NBA,541,,25.2,3.3,7.1,.470,0.0,0.0,,3.3,7.1,.470,.470,1.1,1.6,.702,2.0,4.2,5.9,1.5,0.5,1.0,1.5,2.3,7.8
Dick Gibbs,Career,NBA,333.0,,12.9,2.0,5.0,0.402,,,,,,,,1.2,1.5,0.799,0.8,1.1,1.9,0.8,0.3,0.2,,1.9,5.2
Daniel Gibson,Career,NBA,397,77,23.5,2.7,6.7,0.402,1.5,3.6,0.40700000000000003,1.2,3.1,0.397,0.512,1.0,1.3,0.78,0.4,1.6,2.0,2.0,0.6,0.2,0.9,2.0,7.8
Dee Gibson,Career,NBA,44,,,1.8,5.6,0.314,,,,,,,,2.9,4.0,0.718,,,,2.9,,,,2.6,6.4
Hoot Gibson,Career,NBA,32.0,,,2.1,6.1,0.344,,,,,,,,1.3,2.0,0.6559999999999999,,,,1.2,,,,3.3,5.5
Jonathan Gibson,Career,NBA,21.0,0.0,12.9,2.3,5.6,0.415,1.0,2.7,0.368,1.3,2.9,0.45899999999999996,0.504,1.0,1.4,0.7240000000000001,0.0,1.1,1.2,1.4,0.4,0.0,1.1,1.2,6.7
Mel Gibson,Career,NBA,9,,5.9,0.7,2.2,0.3,,,,,,,,0.1,0.2,0.5,,,0.4,0.7,,,,1.1,1.4
Mike Gibson,Career,NBA,64,0,6.1,0.6,1.7,.387,0.0,0.0,,0.6,1.7,.387,.387,0.3,0.4,.679,0.7,1.0,1.7,0.2,0.2,0.2,0.3,1.0,1.6
Taj Gibson,Career,NBA,821.0,441.0,25.0,3.9,7.6,0.516,0.0,0.2,0.22,3.9,7.4,0.522,0.518,1.6,2.2,0.708,2.3,3.9,6.2,1.0,0.6,1.0,1.2,2.5,9.4
J.R. Giddens,Career,NBA,38.0,1.0,6.5,0.8,1.7,0.47600000000000003,0.0,0.3,0.0,0.8,1.4,0.5660000000000001,0.47600000000000003,0.3,0.6,0.565,0.5,0.9,1.4,0.3,0.3,0.1,0.5,0.8,1.9
Trey Gilder,Career,NBA,2,0,2.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0
Harry Giles,Career,NBA,129.0,17.0,13.7,2.6,5.2,0.513,0.0,0.1,0.16699999999999998,2.6,5.0,0.522,0.515,0.8,1.2,0.69,1.1,3.0,4.1,1.3,0.5,0.4,1.0,2.4,6.2
Shai Gilgeous-Alexander,Career,NBA,187.0,178.0,30.9,5.9,12.3,0.48200000000000004,1.1,3.0,0.373,4.8,9.3,0.517,0.527,3.4,4.2,0.805,0.7,3.7,4.3,3.8,1.1,0.6,2.0,1.9,16.3
Anthony Gill,Career,NBA,13,1,5.5,0.3,0.9,0.33299999999999996,0.1,0.6,0.125,0.2,0.3,0.75,0.375,0.2,0.3,0.75,0.2,1.2,1.5,0.3,0.2,0.2,0.2,0.2,0.9
Eddie Gill,Career,NBA,187,9,10.9,1.0,2.7,.361,0.3,1.1,.320,0.6,1.6,.388,.424,0.8,0.9,.847,0.1,1.0,1.1,1.2,0.6,0.1,0.7,1.1,3.1
Kendall Gill,Career,NBA,966.0,791.0,30.5,5.2,12.1,0.434,0.3,1.1,0.3,4.9,11.0,0.44799999999999995,0.44799999999999995,2.5,3.4,0.754,1.3,2.8,4.1,3.0,1.6,0.4,1.8,2.6,13.4
Ben Gillery,Career,NBA,24,0,3.5,0.3,0.8,0.316,0.0,0.0,,0.3,0.8,0.316,0.316,0.5,1.0,0.565,0.3,0.7,1.0,0.1,0.1,0.2,0.2,1.2,1.0
Jack Gillespie,Career,ABA,2,,13.5,0.0,2.5,0.0,0.0,0.0,,0.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,2.5,3.5,0.0,,,0.0,1.5,1.0
Armen Gilliam,Career,NBA,929.0,527.0,28.4,5.2,10.7,0.489,0.0,0.0,0.0,5.2,10.6,0.49,0.489,3.3,4.2,0.7759999999999999,2.3,4.6,6.9,1.2,0.7,0.7,1.9,2.2,13.7
Herm Gilliam,Career,NBA,578.0,,26.0,4.7,10.6,0.441,,,,,,,,1.5,1.9,0.792,0.9,2.2,3.8,3.8,1.3,0.2,,2.6,10.8
Artis Gilmore,Career,TOT,1329,476,35.5,7.1,12.2,.582,0.0,0.0,.150,7.1,12.1,.582,.582,4.6,6.6,.698,3.6,8.7,12.3,2.3,0.6,2.4,3.1,3.4,18.8
Walt Gilmore,Career,NBA,27,,9.7,0.9,2.0,0.426,,,,,,,,0.4,1.0,0.462,,,2.7,0.4,,,,1.8,2.1
Chuck Gilmur,Career,TOT,239.0,,,2.1,6.6,0.325,,,,,,,,1.5,2.5,0.609,,,4.7,1.5,,,,3.7,5.8
Manu Ginóbili,Career,NBA,1057,349,25.4,4.3,9.7,.447,1.4,3.8,.369,2.9,5.9,.498,.520,3.2,3.9,.827,0.6,2.8,3.5,3.8,1.3,0.3,2.0,2.1,13.3
Gordan Giriček,Career,NBA,384,191,23.0,3.7,8.4,.442,0.8,2.0,.368,3.0,6.4,.465,.486,1.4,1.7,.823,0.4,2.0,2.5,1.5,0.6,0.1,1.3,2.0,9.6
Jack Givens,Career,NBA,156,,16.7,2.7,6.6,0.401,0.0,0.0,0.0,2.7,6.6,0.402,0.401,1.3,1.7,0.7909999999999999,1.4,1.6,2.9,0.9,0.8,0.2,0.9,1.6,6.7
Mickell Gladness,Career,NBA,26.0,7.0,9.7,1.0,2.3,0.424,0.0,0.0,,1.0,2.3,0.424,0.424,0.2,0.5,0.5,0.5,1.7,2.2,0.2,0.2,0.8,0.3,1.2,2.2
George Glamack,Career,BAA,11,,,2.7,11.0,0.248,,,,,,,,3.8,5.0,0.764,,,,1.7,,,,2.5,9.3
Gerald Glass,Career,NBA,201,49,16.7,3.4,7.9,.433,0.1,0.5,.236,3.3,7.3,.448,.442,0.8,1.2,.643,1.1,1.4,2.5,1.5,0.6,0.3,0.9,1.8,7.7
Mike Glenn,Career,NBA,593.0,10.0,16.2,3.3,6.1,0.542,0.0,0.1,0.28600000000000003,3.3,6.0,0.544,0.5429999999999999,1.0,1.1,0.855,0.3,0.9,1.2,1.6,0.5,0.1,0.7,1.5,7.6
Normie Glick,Career,NBA,1,,,1.0,1.0,1.0,,,,,,,,0.0,0.0,,,,,0.0,,,,1.0,2.0
Georgi Glouchkov,Career,NBA,49,16,15.8,1.7,4.3,0.402,0.0,0.0,1.0,1.7,4.2,0.39899999999999997,0.40399999999999997,1.4,2.5,0.574,0.6,2.7,3.3,0.7,0.5,0.5,1.6,2.5,4.9
Clarence Glover,Career,NBA,25,,4.8,1.0,2.2,0.455,,,,,,,,0.6,1.3,0.469,,,1.8,0.2,,,,1.0,2.6
Dion Glover,Career,NBA,294.0,105.0,20.9,3.1,7.6,0.41100000000000003,0.5,1.6,0.317,2.6,6.0,0.436,0.445,1.5,1.9,0.7559999999999999,0.7,2.3,3.1,1.5,0.8,0.2,1.3,1.7,8.2
Andreas Glyniadakis,Career,NBA,13,4,6.2,0.6,1.3,0.47100000000000003,0.0,0.0,,0.6,1.3,0.47100000000000003,0.47100000000000003,0.1,0.2,0.5,0.2,0.5,0.6,0.1,0.0,0.0,0.7,1.5,1.3
Mike Gminski,Career,NBA,938.0,547.0,25.6,4.5,9.6,0.465,0.0,0.1,0.122,4.5,9.6,0.467,0.465,2.7,3.2,0.843,2.2,4.7,6.9,1.3,0.5,1.1,1.5,1.7,11.7
Rudy Gobert,Career,NBA,522,430,29.6,4.4,6.9,0.6409999999999999,0.0,0.0,0.0,4.4,6.9,0.642,0.6409999999999999,3.1,5.0,0.629,3.3,7.9,11.2,1.4,0.7,2.2,1.6,2.6,12.0
Dan Godfread,Career,NBA,11.0,0.0,2.0,0.5,1.1,0.41700000000000004,0.0,0.1,0.0,0.5,1.0,0.455,0.41700000000000004,0.3,0.4,0.75,0.0,0.2,0.2,0.0,0.1,0.4,0.0,0.5,1.2
Tom Gola,Career,NBA,698,,32.3,4.2,9.9,.431,,,,,,,,2.8,3.7,.760,,,8.0,4.2,,,,3.9,11.3
Ben Goldfaden,Career,BAA,2,,,0.0,1.0,0.0,,,,,,,,1.0,2.0,0.5,,,,0.0,,,,1.5,1.0
Anthony Goldwire,Career,NBA,266,72,18.6,2.2,5.4,.407,0.8,2.0,.386,1.4,3.4,.419,.479,1.1,1.4,.792,0.3,1.1,1.3,2.8,0.6,0.0,1.0,1.5,6.3
Ryan Gomes,Career,NBA,487.0,371.0,27.6,3.9,8.7,0.445,0.7,2.0,0.349,3.2,6.8,0.473,0.484,1.7,2.1,0.799,1.3,3.3,4.6,1.5,0.7,0.2,1.1,1.9,10.1
Glen Gondrezick,Career,NBA,435.0,2.0,17.3,2.3,4.8,0.473,0.0,0.0,0.14300000000000002,2.2,4.7,0.475,0.474,1.3,1.9,0.7240000000000001,1.7,2.8,4.5,1.4,1.1,0.3,1.0,2.5,5.8
Grant Gondrezick,Career,NBA,91,1,11.9,1.9,4.3,.438,0.1,0.3,.250,1.8,4.0,.452,.447,1.1,1.6,.687,0.7,0.9,1.6,1.3,0.4,0.1,0.8,1.4,5.0
Drew Gooden,Career,NBA,790.0,500.0,25.5,4.3,9.4,0.462,0.1,0.4,0.257,4.2,9.0,0.47100000000000003,0.46799999999999997,2.2,2.8,0.76,2.4,4.7,7.1,1.1,0.7,0.6,1.5,2.5,11.0
Gail Goodrich,Career,NBA,1031.0,,32.5,7.2,15.8,0.456,,,,,,,,4.2,5.2,0.807,1.1,1.6,3.2,4.7,1.3,0.2,2.5,2.7,18.6
Steve Goodrich,Career,NBA,21.0,0.0,8.7,0.4,1.3,0.321,0.0,0.1,0.33299999999999996,0.4,1.2,0.32,0.33899999999999997,0.2,0.4,0.556,0.4,0.9,1.2,0.5,0.1,0.1,0.5,1.1,1.1
Archie Goodwin,Career,NBA,165.0,15.0,14.5,2.2,5.2,0.429,0.3,1.2,0.23600000000000002,2.0,4.0,0.484,0.455,1.6,2.3,0.7,0.5,1.5,2.0,1.2,0.4,0.2,1.2,1.2,6.3
Brandon Goodwin,Career,NBA,82.0,2.0,10.3,1.6,4.2,0.377,0.6,1.9,0.304,1.0,2.3,0.439,0.446,0.7,0.8,0.831,0.2,1.1,1.3,1.4,0.3,0.0,0.6,0.9,4.4
Pop Goodwin,Career,BAA,79,,,1.7,6.4,0.266,,,,,,,,1.0,1.3,0.775,,,,0.3,,,,1.6,4.4
Aaron Gordon,Career,NBA,431.0,342.0,28.6,4.8,10.8,0.44799999999999995,1.1,3.5,0.32299999999999995,3.7,7.3,0.508,0.5,2.1,3.0,0.693,1.6,4.8,6.4,2.5,0.8,0.6,1.5,2.0,12.9
Ben Gordon,Career,NBA,744.0,269.0,27.4,5.3,12.2,0.43200000000000005,1.6,3.9,0.401,3.7,8.3,0.447,0.49700000000000005,2.8,3.2,0.857,0.4,2.0,2.5,2.5,0.7,0.2,2.1,2.3,14.9
Drew Gordon,Career,NBA,9,0,7.9,0.9,2.1,0.42100000000000004,0.0,0.3,0.0,0.9,1.8,0.5,0.42100000000000004,0.1,0.2,0.5,0.8,1.2,2.0,0.2,0.1,0.0,0.9,0.8,1.9
Eric Gordon,Career,NBA,692.0,524.0,32.6,5.6,13.3,0.425,2.3,6.4,0.368,3.3,6.9,0.478,0.514,3.0,3.7,0.812,0.4,2.0,2.5,2.8,0.9,0.3,2.0,2.0,16.6
Lancaster Gordon,Career,NBA,201,6,12.8,2.3,6.0,0.391,0.1,0.4,0.271,2.2,5.6,0.4,0.4,0.8,1.0,0.767,0.6,0.7,1.3,1.5,0.6,0.2,1.2,1.3,5.6
Paul Gordon,Career,NBA,4,,,0.0,1.5,0.0,,,,,,,,0.8,1.3,0.6,,,,0.8,,,,0.8,0.8
Marcin Gortat,Career,NBA,806,587,25.7,4.2,7.7,.551,0.0,0.0,.150,4.2,7.6,.553,.552,1.4,2.1,.680,2.2,5.8,7.9,1.1,0.5,1.1,1.2,2.2,9.9
Leo Gottlieb,Career,BAA,84,,,2.5,8.6,0.28800000000000003,,,,,,,,0.6,0.9,0.645,,,,0.4,,,,1.3,5.5
Andrew Goudelock,Career,NBA,49,0,9.7,1.6,4.0,.393,0.6,1.7,.345,1.0,2.3,.429,.467,0.3,0.3,.875,0.1,0.6,0.7,0.5,0.2,0.0,0.6,0.7,4.0
Gerald Govan,Career,ABA,681,,33.7,3.1,7.8,.405,0.0,0.0,.208,3.1,7.7,.406,.406,1.4,2.1,.678,2.6,8.2,10.5,3.2,0.7,0.5,2.4,3.0,7.7
Bato Govedarica,Career,NBA,23,,11.2,1.1,3.4,0.316,,,,,,,,1.1,1.6,0.6759999999999999,,,0.8,1.0,,,,1.9,3.3
Joe Graboski,Career,TOT,845,,30.5,4.1,11.6,.352,,,,,,,,2.9,4.1,.700,,,8.1,1.8,,,,3.1,11.0
Ricky Grace,Career,NBA,3,0,2.7,0.7,1.0,0.667,0.0,0.0,,0.7,1.0,0.667,0.667,0.0,0.7,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.3
Calvin Graham,Career,ABA,8,,6.5,0.5,1.8,0.28600000000000003,0.0,0.0,,0.5,1.8,0.28600000000000003,0.28600000000000003,0.6,1.0,0.625,,,1.3,0.0,,,0.1,1.5,1.6
Devonte' Graham,Career,NBA,147,88,27.4,4.1,11.0,0.374,2.5,6.9,0.361,1.6,4.2,0.39399999999999996,0.486,2.1,2.6,0.8170000000000001,0.5,2.1,2.6,5.3,0.8,0.1,1.8,1.5,12.9
Greg Graham,Career,NBA,207.0,18.0,12.2,1.6,3.9,0.40700000000000003,0.2,0.8,0.29,1.4,3.1,0.43799999999999994,0.43700000000000006,1.1,1.4,0.775,0.3,0.8,1.1,1.0,0.6,0.1,0.9,1.0,4.5
Joey Graham,Career,NBA,377.0,84.0,16.2,2.3,4.7,0.483,0.1,0.5,0.3,2.1,4.2,0.503,0.498,1.2,1.5,0.815,0.7,2.1,2.8,0.5,0.4,0.1,0.8,2.1,5.9
Mal Graham,Career,NBA,70,,12.7,1.9,4.7,0.39799999999999996,,,,,,,,1.0,1.5,0.657,,,1.7,1.1,,,,2.1,4.7
Orlando Graham,Career,NBA,7,0,3.1,0.4,1.4,0.3,0.0,0.0,,0.4,1.4,0.3,0.3,0.3,0.6,0.5,1.1,0.4,1.6,0.0,0.0,0.0,0.3,0.9,1.1
Paul Graham,Career,NBA,179,20,18.7,3.3,7.3,0.44799999999999995,0.6,1.6,0.33899999999999997,2.7,5.6,0.48,0.48700000000000004,1.3,1.8,0.7390000000000001,0.8,1.7,2.4,2.0,1.0,0.2,1.2,2.2,8.4
Stephen Graham,Career,NBA,239.0,43.0,12.2,1.6,3.5,0.446,0.2,0.7,0.308,1.4,2.8,0.48100000000000004,0.47700000000000004,0.7,0.9,0.7659999999999999,0.3,1.5,1.8,0.5,0.2,0.1,0.6,1.5,4.0
Treveon Graham,Career,NBA,180.0,44.0,16.0,1.5,3.9,0.38299999999999995,0.7,2.0,0.33299999999999996,0.8,1.9,0.43700000000000006,0.47,0.6,0.8,0.691,0.7,1.6,2.2,0.8,0.4,0.1,0.4,1.7,4.2
Jim Grandholm,Career,NBA,26,0,6.5,1.2,2.2,0.517,0.3,0.7,0.529,0.8,1.6,0.512,0.595,0.4,0.8,0.47600000000000003,0.8,1.2,1.9,0.3,0.1,0.3,0.4,1.3,3.0
Ron Grandison,Career,NBA,105,3,8.3,0.8,2.0,.404,0.0,0.2,.167,0.8,1.8,.435,.413,0.8,1.1,.713,0.7,0.9,1.6,0.6,0.3,0.1,0.5,1.0,2.4
Danny Granger,Career,NBA,586.0,431.0,31.5,5.7,13.1,0.434,1.7,4.5,0.38,4.0,8.6,0.46299999999999997,0.5,3.7,4.4,0.848,1.2,3.8,4.9,1.9,1.0,0.8,1.9,2.8,16.8
Stewart Granger,Career,NBA,80,14,12.5,1.5,3.7,.414,0.1,0.2,.235,1.5,3.5,.425,.421,0.8,1.1,.742,0.2,0.8,1.0,2.2,0.4,0.0,1.1,1.6,4.0
Brian Grant,Career,NBA,756.0,577.0,28.3,4.1,8.4,0.49,0.0,0.0,0.214,4.1,8.3,0.491,0.491,2.3,3.1,0.746,2.4,5.0,7.4,1.2,0.6,0.7,1.6,3.2,10.5
Bud Grant,Career,NBA,96,,,1.0,3.1,0.318,,,,,,,,0.6,1.0,0.59,,,1.9,0.9,,,,1.5,2.6
Gary Grant,Career,NBA,552,231,22.8,3.4,7.5,.450,0.2,0.6,.278,3.2,6.9,.466,.462,1.0,1.3,.776,0.6,1.7,2.3,5.5,1.5,0.1,2.3,2.2,7.9
Greg Grant,Career,NBA,274,5,12.2,1.1,3.0,.383,0.1,0.5,.281,1.0,2.5,.405,.408,0.4,0.5,.710,0.2,0.7,0.9,2.7,0.6,0.0,0.8,1.0,2.8
Harvey Grant,Career,NBA,783.0,439.0,26.2,4.3,9.1,0.469,0.1,0.3,0.267,4.2,8.8,0.47600000000000003,0.473,1.3,1.8,0.7090000000000001,1.5,2.9,4.4,1.6,0.8,0.5,0.9,2.3,9.9
Horace Grant,Career,NBA,1165.0,1037.0,33.2,4.7,9.2,0.509,0.0,0.1,0.063,4.7,9.1,0.511,0.509,1.8,2.6,0.6920000000000001,3.0,5.1,8.1,2.2,1.0,1.0,1.1,2.4,11.2
Jerami Grant,Career,NBA,499.0,214.0,25.4,3.6,8.0,0.457,0.9,2.7,0.348,2.7,5.2,0.513,0.516,2.3,3.2,0.7020000000000001,0.9,3.0,3.9,1.2,0.6,1.1,1.0,2.3,10.5
Jerian Grant,Career,NBA,279.0,61.0,17.9,2.1,5.2,0.41100000000000003,0.6,1.9,0.32299999999999995,1.5,3.2,0.46399999999999997,0.47200000000000003,1.2,1.5,0.77,0.3,1.6,1.9,2.9,0.7,0.1,1.0,1.5,6.1
Josh Grant,Career,NBA,53,0,7.2,1.1,2.8,0.40399999999999997,0.3,1.2,0.27899999999999997,0.8,1.6,0.494,0.462,0.4,0.5,0.759,0.5,1.2,1.7,0.5,0.3,0.2,0.6,1.2,3.0
Paul Grant,Career,NBA,16,0,6.9,0.8,1.8,.448,0.0,0.0,,0.8,1.8,.448,.448,0.2,0.5,.375,0.5,0.6,1.1,0.2,0.1,0.1,0.6,1.3,1.8
Travis Grant,Career,TOT,201.0,,21.4,5.9,11.2,0.524,0.0,0.0,0.33299999999999996,5.9,11.2,0.525,0.525,2.0,2.4,0.8109999999999999,1.7,2.9,4.1,1.0,0.6,0.3,1.6,2.0,13.8
Donte Grantham,Career,NBA,3,0,0.7,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Grate,Career,NBA,2,,,0.5,3.0,0.16699999999999998,,,,,,,,1.0,1.0,1.0,,,,1.5,,,,1.5,2.0
