Player,TRB,AST,STL,BLK,PTS
Dalibor Bagarić,2.5,0.4,0.3,0.5,2.6
John Bagley,2.6,6.0,1.1,0.1,8.7
Marvin Bagley,7.5,1.0,0.5,0.8,14.5
James Bailey,5.0,0.8,0.5,0.9,8.8
Thurl Bailey,5.1,1.4,0.5,1.2,12.8
Toby Bailey,1.7,0.6,0.3,0.1,3.3
Cameron Bairstow,1.0,0.2,0.1,0.1,1.2
Ron Baker,1.4,1.8,0.7,0.2,3.1
Vin Baker,7.4,1.9,0.7,1.0,15.0
Wade Baldwin,1.2,1.4,0.4,0.2,3.1
Renaldo Balkman,3.5,0.6,0.7,0.5,4.0
LaMelo Ball,5.9,6.1,1.6,0.3,15.9
Lonzo Ball,5.8,6.4,1.5,0.6,11.4
Greg Ballard,6.1,2.2,1.1,0.3,12.4
Mohamed Bamba,4.8,0.7,0.3,1.3,5.7
Desmond Bane,3.0,1.4,0.7,0.2,9.3
Gene Banks,5.8,2.9,0.9,0.2,11.3
Marcus Banks,1.5,2.1,0.8,0.2,5.9
Ken Bannister,3.5,0.4,0.4,0.3,5.9
Mike Bantom,6.4,2.3,0.9,0.7,12.1
Leandro Barbosa,2.0,2.1,0.8,0.1,10.6
Steve Bardo,1.8,1.3,0.4,0.1,2.2
J.J. Barea,2.1,3.9,0.4,0.0,8.9
Andrea Bargnani,4.6,1.2,0.4,0.9,14.3
Charles Barkley,11.7,3.9,1.5,0.8,22.1
Erick Barkley,0.8,1.5,0.7,0.0,2.9
Harrison Barnes,5.0,1.8,0.7,0.2,13.8
Matt Barnes,4.6,1.8,0.8,0.5,8.2
Andre Barrett,1.1,2.0,0.4,0.0,3.3
RJ Barrett,5.5,2.8,0.9,0.3,15.7
Earl Barron,3.5,0.5,0.3,0.2,4.6
Dana Barros,1.9,3.3,0.9,0.1,10.5
Brent Barry,3.0,3.2,1.0,0.3,9.3
Drew Barry,1.1,1.9,0.3,0.0,2.2
Jon Barry,1.8,2.2,0.9,0.1,5.7
Will Barton,4.2,2.6,0.8,0.4,11.2
Eddie Basden,1.5,0.4,0.5,0.1,2.1
Brandon Bass,4.5,0.8,0.4,0.6,8.7
Maceo Baston,1.7,0.2,0.2,0.4,2.7
Mengke Bateer,2.5,0.6,0.2,0.1,3.4
Billy Ray Bates,1.7,1.9,0.8,0.1,11.7
Keita Bates-Diop,2.6,0.6,0.5,0.4,5.3
Esteban Batista,2.5,0.2,0.3,0.2,1.7
Mike Batiste,3.4,0.7,0.6,0.2,6.4
Tony Battie,5.1,0.6,0.5,0.9,6.1
Shane Battier,4.2,1.8,1.0,0.9,8.6
John Battle,1.3,2.1,0.4,0.1,8.7
Kenny Battle,2.4,0.8,0.7,0.2,4.7
Dave Batton,2.1,0.6,0.3,0.3,3.2
Nicolas Batum,5.2,3.7,1.0,0.6,11.4
Lonny Baxter,2.9,0.2,0.2,0.4,3.9
Jerryd Bayless,2.1,2.9,0.6,0.1,8.4
Aron Baynes,4.6,0.8,0.2,0.5,5.9
Sergei Bazarevich,0.7,1.4,0.1,0.1,3.0
Kent Bazemore,3.2,1.8,1.0,0.5,8.5
Darius Bazley,5.3,1.0,0.4,0.7,7.9
Bradley Beal,4.1,4.0,1.1,0.4,21.7
Malik Beasley,2.3,1.2,0.6,0.1,9.9
Michael Beasley,4.7,1.3,0.6,0.5,12.4
Rodrigue Beaubois,1.9,2.1,0.7,0.3,7.1
Corey Beck,1.4,1.4,0.5,0.1,2.7
William Bedford,2.4,0.5,0.2,0.5,4.1
Marco Belinelli,2.1,1.7,0.6,0.1,9.7
Charlie Bell,2.2,2.3,0.8,0.1,8.5
Jordan Bell,3.1,1.3,0.4,0.8,3.7
Raja Bell,2.8,1.7,0.7,0.2,9.9
Troy Bell,0.7,0.7,0.2,0.0,1.8
DeAndre' Bembry,3.3,1.9,1.0,0.4,6.0
Dragan Bender,3.9,1.3,0.3,0.6,5.4
Jonathan Bender,2.2,0.6,0.2,0.6,5.5
Benoit Benjamin,7.5,1.3,0.6,2.0,11.4
Corey Benjamin,1.7,0.9,0.5,0.3,5.5
Anthony Bennett,3.1,0.5,0.4,0.2,4.4
Elmer Bennett,0.5,1.0,0.4,0.0,2.3
Mario Bennett,2.7,0.4,0.5,0.3,4.0
Tony Bennett,1.0,2.0,0.5,0.0,3.5
Winston Bennett,3.0,0.9,0.4,0.2,4.8
David Benoit,4.0,0.6,0.4,0.5,7.0
Kent Benson,5.7,1.8,0.9,0.9,9.1
Ricky Berry,3.1,1.3,0.6,0.3,11.0
Walter Berry,4.7,1.4,0.6,0.7,14.1
Dāvis Bertāns,2.8,1.1,0.4,0.4,8.3
Travis Best,1.8,3.5,0.9,0.1,7.6
Patrick Beverley,4.3,3.4,1.2,0.5,8.9
Saddiq Bey,4.1,1.3,0.6,0.1,10.7
Tyler Bey,1.3,0.1,0.0,0.1,0.9
Henry Bibby,2.3,3.3,0.9,0.1,8.6
Mike Bibby,3.1,5.5,1.2,0.1,14.7
Andris Biedriņš,7.0,0.9,0.6,1.1,6.3
Chauncey Billups,2.9,5.4,1.0,0.2,15.2
Khem Birch,4.4,0.9,0.4,0.5,4.7
Jabari Bird,1.5,0.6,0.2,0.1,3.0
Larry Bird,10.0,6.3,1.7,0.8,24.3
Otis Birdsong,3.0,3.2,1.2,0.2,18.0
Goga Bitadze,2.2,0.4,0.2,0.8,3.6
Bismack Biyombo,6.2,0.6,0.3,1.3,5.2
Nemanja Bjelica,4.7,1.7,0.7,0.4,7.9
Tarik Black,4.7,0.5,0.4,0.5,4.9
Rolando Blackman,3.3,3.0,0.7,0.3,18.0
Alex Blackwell,0.9,0.3,0.1,0.1,1.3
Cory Blackwell,1.6,0.4,0.4,0.1,3.4
Nate Blackwell,0.6,1.8,0.3,0.0,3.7
DeJuan Blair,5.1,0.8,0.7,0.3,6.8
Steve Blake,2.1,4.0,0.7,0.1,6.5
Antonio Blakeney,1.8,0.8,0.3,0.1,7.5
Will Blalock,1.1,1.2,0.4,0.0,1.8
Lance Blanks,0.8,0.8,0.3,0.1,2.0
Andray Blatche,5.4,1.4,0.9,0.8,10.1
Mookie Blaylock,4.1,6.7,2.3,0.3,13.5
Eric Bledsoe,3.9,4.8,1.4,0.5,14.0
Jaron Blossomgame,3.6,0.5,0.3,0.3,4.2
Corie Blount,4.2,0.7,0.5,0.4,3.6
Mark Blount,4.6,0.8,0.5,0.8,8.2
Vander Blue,1.3,1.2,0.4,0.0,3.0
Ray Blume,0.8,1.4,0.5,0.0,4.6
Keith Bogans,2.7,1.3,0.6,0.1,6.3
Bogdan Bogdanović,3.2,3.4,1.0,0.2,13.4
Bojan Bogdanović,3.5,1.5,0.5,0.1,14.3
Muggsy Bogues,2.6,7.6,1.5,0.0,7.7
Andrew Bogut,8.7,2.2,0.6,1.5,9.6
Bol Bol,1.3,0.4,0.1,0.4,3.4
Manute Bol,4.2,0.3,0.2,3.3,2.6
Jonah Bolden,3.4,0.8,0.4,0.8,4.3
Joel Bolomboy,1.5,0.1,0.2,0.1,1.7
Walter Bond,1.9,1.2,0.6,0.2,5.7
Dexter Boney,0.8,0.0,0.3,0.1,2.4
Isaac Bonga,2.6,0.9,0.5,0.3,3.5
Anthony Bonner,5.4,1.4,1.1,0.3,6.9
Matt Bonner,3.0,0.7,0.4,0.3,5.8
Devin Booker,3.7,4.7,0.8,0.3,22.8
Melvin Booker,1.2,2.3,0.3,0.1,5.2
Trevor Booker,5.5,1.1,0.7,0.5,6.9
Calvin Booth,2.8,0.4,0.3,1.0,3.3
Keith Booth,2.2,0.9,0.5,0.2,2.9
Carlos Boozer,9.5,2.2,0.9,0.4,16.2
Curtis Borchardt,3.3,0.8,0.2,0.6,3.1
Lazaro Borrell,2.4,0.6,0.4,0.2,3.6
Chris Bosh,8.5,2.0,0.8,1.0,19.2
Tom Boswell,4.7,1.6,0.4,0.3,7.7
Chris Boucher,4.6,0.6,0.4,1.3,8.2
Cal Bowdler,1.9,0.2,0.3,0.3,3.0
Brian Bowen,0.9,0.0,0.0,0.1,1.0
Bruce Bowen,2.8,1.2,0.8,0.4,6.1
Ryan Bowen,2.1,0.5,0.6,0.3,2.6
Anthony Bowie,2.2,1.8,0.6,0.2,6.4
Sam Bowie,7.5,2.1,0.5,1.8,10.9
Ira Bowman,0.3,0.5,0.2,0.0,0.9
Ky Bowman,2.7,2.9,1.0,0.2,7.4
Donnie Boyce,0.8,0.5,0.4,0.2,2.6
Earl Boykins,1.3,3.2,0.6,0.1,8.9
Cedric Bozeman,1.0,0.4,0.2,0.1,1.1
Craig Brackins,1.1,0.5,0.1,0.1,1.8
Alex Bradley,1.7,0.3,0.3,0.1,3.5
Avery Bradley,2.9,1.8,1.0,0.2,11.7
Charles Bradley,1.1,0.5,0.4,0.3,3.2
Dudley Bradley,1.8,1.9,1.6,0.3,5.2
Michael Bradley,3.4,0.5,0.1,0.3,2.8
Shawn Bradley,6.3,0.7,0.6,2.5,8.1
Tony Bradley,4.5,0.5,0.2,0.5,4.7
Adrian Branch,1.9,0.7,0.6,0.1,6.4
Elton Brand,8.5,2.1,0.9,1.7,15.9
Terrell Brandon,3.0,6.1,1.6,0.3,13.8
Brad Branson,2.9,0.7,0.4,0.4,5.4
Jarrell Brantley,1.2,0.6,0.3,0.3,1.9
Mike Bratz,1.8,3.2,0.9,0.1,7.0
Ignas Brazdeikis,0.5,0.4,0.0,0.1,1.5
Tim Breaux,0.9,0.4,0.2,0.1,2.9
J.R. Bremer,1.8,2.2,0.6,0.1,6.5
Randy Breuer,4.4,0.9,0.4,1.1,6.8
Corey Brewer,2.8,1.5,1.2,0.3,8.7
Jamison Brewer,0.9,1.0,0.4,0.0,1.6
Jim Brewer,6.3,1.5,0.8,0.7,5.8
Ron Brewer,1.9,1.8,1.0,0.5,11.9
Ronnie Brewer,2.8,1.6,1.2,0.2,7.8
Primož Brezec,3.9,0.5,0.2,0.4,7.2
Frank Brickowski,4.7,1.9,0.9,0.4,10.0
Junior Bridgeman,3.5,2.4,0.8,0.3,13.6
Mikal Bridges,3.9,2.0,1.3,0.6,9.8
Miles Bridges,5.0,1.6,0.7,0.7,9.9
Isaiah Briscoe,1.9,2.2,0.3,0.1,3.5
Oshae Brissett,1.4,0.4,0.2,0.1,1.9
Jon Brockman,3.1,0.3,0.2,0.1,2.1
Ryan Broekhoff,1.8,0.6,0.2,0.1,4.0
Jim Brogan,1.5,1.8,0.6,0.2,5.1
Malcolm Brogdon,4.0,4.6,0.9,0.2,14.8
Aaron Brooks,1.7,3.0,0.6,0.1,9.7
Dillon Brooks,3.0,1.9,0.9,0.3,13.4
Kevin Brooks,1.1,0.4,0.1,0.0,3.3
MarShon Brooks,2.1,1.4,0.6,0.2,8.0
Michael Brooks,6.3,2.6,1.2,0.4,12.8
Scott Brooks,1.0,2.4,0.7,0.0,4.9
Andre Brown,2.4,0.1,0.2,0.1,2.6
Anthony Brown,2.5,0.7,0.5,0.1,3.9
Bobby Brown,0.7,1.5,0.3,0.0,4.4
Bruce Brown,3.8,2.2,0.8,0.4,6.9
Charlie Brown,0.4,0.2,0.2,0.2,2.0
Chucky Brown,3.1,0.8,0.3,0.3,5.9
Damone Brown,1.3,0.5,0.1,0.2,2.8
Dee Brown,2.6,3.7,1.3,0.3,11.1
Dee Brown,1.0,1.8,0.5,0.1,2.1
Derrick Brown,2.4,0.7,0.5,0.2,5.2
Devin Brown,2.8,1.5,0.6,0.1,7.2
Fred Brown,2.7,3.3,1.4,0.2,14.6
Gerald Brown,0.7,0.9,0.2,0.0,2.4
Jabari Brown,1.9,2.1,0.6,0.1,11.9
Jaylen Brown,4.6,1.7,0.9,0.4,14.7
Kedrick Brown,2.4,0.7,0.6,0.2,3.6
Kwame Brown,5.5,0.9,0.5,0.6,6.6
Lorenzo Brown,1.5,1.8,0.6,0.1,2.8
Marcus Brown,0.8,0.9,0.3,0.1,3.4
Markel Brown,2.1,1.2,0.6,0.2,5.2
Mike Brown,4.4,0.7,0.4,0.3,5.0
P.J. Brown,7.7,1.5,0.8,1.0,9.1
Randy Brown,1.8,2.2,1.1,0.2,4.8
Rickey Brown,3.5,0.4,0.3,0.3,4.4
Shannon Brown,1.9,1.1,0.7,0.2,7.6
Sterling Brown,3.4,1.1,0.6,0.2,5.8
Tierre Brown,1.2,2.0,0.5,0.0,3.9
Tony Brown,2.1,1.6,0.7,0.1,6.0
Troy Brown,4.1,1.9,0.8,0.1,7.4
Jalen Brunson,2.6,3.3,0.5,0.0,9.8
Rick Brunson,1.3,2.6,0.6,0.1,3.2
Nicolás Brussino,1.7,0.8,0.3,0.1,2.6
Joe Bryant,4.0,1.7,0.9,0.3,8.7
Kobe Bryant,5.2,4.7,1.4,0.5,25.0
Mark Bryant,3.8,0.6,0.4,0.2,5.4
Thomas Bryant,6.0,1.4,0.4,0.9,10.7
Steve Bucknall,0.4,0.6,0.1,0.1,1.3
Greg Buckner,2.8,1.3,0.8,0.2,5.0
Quinn Buckner,2.7,4.3,1.9,0.1,8.2
Chase Budinger,3.0,1.2,0.5,0.2,7.9
Jud Buechler,1.8,0.8,0.4,0.2,3.3
Rodney Buford,2.6,0.8,0.5,0.1,6.4
Matt Bullard,2.0,0.9,0.3,0.2,5.3
Reggie Bullock,2.3,1.2,0.6,0.1,7.2
Pat Burke,2.1,0.3,0.2,0.3,3.7
Trey Burke,1.9,3.3,0.6,0.1,10.2
Roger Burkman,1.0,0.8,1.0,0.3,0.8
Alec Burks,3.3,1.9,0.7,0.2,10.5
Antonio Burks,0.6,1.3,0.4,0.0,2.3
Kevin Burleson,0.7,1.2,0.7,0.1,1.8
Scott Burrell,3.5,1.4,0.9,0.5,6.9
Deonte Burton,1.2,0.4,0.2,0.3,2.6
Willie Burton,2.9,1.2,0.6,0.4,10.3
Steve Burtt,0.9,1.2,0.5,0.1,5.8
Caron Butler,5.0,2.3,1.3,0.2,14.1
Greg Butler,1.0,0.1,0.0,0.0,1.4
Jimmy Butler,5.2,3.9,1.6,0.5,17.3
Mitchell Butler,2.0,0.9,0.6,0.1,5.2
Rasual Butler,2.4,0.8,0.4,0.5,7.5
Dwight Buycks,1.6,1.7,0.6,0.0,6.3
Derrick Byars,5.5,0.5,1.0,0.0,5.0
Andrew Bynum,7.7,1.2,0.3,1.6,11.5
Will Bynum,1.6,3.3,0.7,0.1,8.1
Marty Byrnes,2.2,1.6,0.4,0.1,5.7
Žarko Čabarkapa,2.1,0.6,0.2,0.2,4.3
Bruno Caboclo,2.6,0.7,0.3,0.6,4.2
Jason Caffey,4.4,0.9,0.5,0.2,7.3
Michael Cage,7.6,0.9,0.9,0.6,7.3
Nick Calathes,1.9,2.7,1.0,0.1,4.6
José Calderón,2.4,5.8,0.8,0.1,8.9
Adrian Caldwell,2.5,0.2,0.3,0.2,2.0
Kentavious Caldwell-Pope,3.1,1.6,1.1,0.2,11.3
Demetrius Calip,0.7,1.7,0.1,0.0,1.6
Rick Calloway,1.2,1.0,0.3,0.1,3.2
Dexter Cambridge,3.2,1.1,0.5,0.1,7.0
Marcus Camby,9.8,1.9,1.0,2.4,9.5
Facundo Campazzo,1.4,2.8,1.0,0.2,4.7
Elden Campbell,5.9,1.1,0.7,1.5,10.3
Tony Campbell,3.1,1.5,0.8,0.2,11.6
Isaiah Canaan,1.9,1.9,0.6,0.1,8.1
Vlatko Čančar,1.0,0.3,0.2,0.1,1.4
Clint Capela,10.2,1.0,0.7,1.6,12.5
Brian Cardinal,2.3,1.0,0.6,0.2,4.6
Vernon Carey,1.1,0.1,0.0,0.1,0.6
Rick Carlisle,0.8,1.1,0.2,0.0,2.2
Rodney Carney,2.0,0.4,0.5,0.3,5.9
Antoine Carr,3.4,1.1,0.4,0.9,9.3
